Plot,Subplot,Yplant,Understory,Line,Tree,GPS X,GPS Y,WTW,Active sampling date,Biomass,Biomass 2,Biomass mean,Negative control,Soil ,Root,Soil Extracted?,Root Extracted?
34,1,1998,Reduced,7,13,5.260813,-3.833316,entertainers.artfully.urgency,18/08/2022,810,835,822.5,Y,Y,Y,Y,Y
34,2,1998,Reduced,5,13,5.260798,-3.833413,prowling.beards.flinches,18/08/2022,330,385,357.5,Y,Y,Y,Y,Y
34,3,1998,Reduced,12,13,5.26082,-3.832952,meteorites.handheld.dawns,18/08/2022,140,135,137.5,Y,Y,Y,Y,Y
34,4,1998,Reduced,15,3,5.26,-3.832808,milsestones.reformation.trotting,18/08/2022,910,885,897.5,Y,Y,Y,Y,Y
34,5,1998,Reduced,20,16,5.261075,-3.832422,pulled.juicers.liver,18/08/2022,1315,1320,1317.5,Y,Y,Y,Y,Y
34,6,1998,Reduced,13,18,5.261162,-3.832886,performers.merited.island,18/08/2022,230,220,225,Y,Y,Y,Y,Y
50,1,2002,Reduced,34,10,5.265508,-3.849584,treatable.uptake.flag,17/08/2022,200,240,220,Y,Y,Y,Y,Y
50,2,2002,Reduced,31,11,5.265553,-3.849794,inflating.soldiers.paying,17/08/2022,985,1025,1005,Y,Y,Y,Y,Y
50,3,2002,Reduced,37,14,5.265846,-3.849293,overcomes.chart.bravery,17/08/2022,615,605,610,Y,Y,Y,Y,Y
50,4,2002,Reduced,33,7,5.2653,-3.849634,breeding.career.walked,17/08/2022,1515,1465,1490,Y,Y,Y,Y,Y
50,5,2002,Reduced,28,8,5.265384,-3.849962,unrated.pace.informer,17/08/2022,1630,1670,1650,Y,Y,Y,Y,Y
50,6,2002,Reduced,26,6,5.265191,-3.850114,wishing.songbirds.messaging,17/08/2022,275,265,270,Y,Y,Y,Y,Y
52,1,1997,Reduced,22,20,5.265896,-3.841328,warms.situates.repeat,22/08/2022,75,90,82.5,Y,Y,Y,Y,Y
52,2,1997,Reduced,31,18,5.265714,-3.840761,milky.loudness.plank,22/08/2022,485,500,492.5,Y,Y,Y,Y,Y
52,3,1997,Reduced,31,13,5.265313,-3.840741,limp.clock.fewer,22/08/2022,465,440,452.5,Y,Y,Y,Y,Y
52,4,1997,Reduced,37,6,5.264824,-3.840337,stripped.regaining.dynamic,22/08/2022,400,380,390,Y,Y,Y,Y,Y
52,5,1997,Reduced,38,11,5.265169,-3.840265,century.exits.announce,22/08/2022,325,310,317.5,Y,Y,Y,Y,Y
52,6,1997,Reduced,43,6,,,gratuity.bombshell.boast,22/08/2022,245,310,277.5,Y,Y,Y,Y,Y
81,1,2002,Intermediate,49,17,5.272087,-3.8437,trickling.surfed.redfined,23/08/2022,2755,2755,2755,Y,Y,Y,Y,Y
81,2,2002,Intermediate,45,12,5.271651,-3.844022,dockers.sharpens.scanner,23/08/2022,1710,1705,1707.5,Y,Y,Y,Y,Y
81,3,2002,Intermediate,44,16,5.271958,-3.84406,weds.caressing.guidelines,23/08/2022,1390,1345,1367.5,Y,Y,Y,Y,Y
81,4,2002,Intermediate,42,12,5.271545,-3.844234,torched.universally.foggy,23/08/2022,4700,4650,4675,Y,Y,Y,Y,Y
81,5,2002,Intermediate,40,12,5.271636,-3.84428,clocks.succeed.twitching,23/08/2022,4085,4200,4142.5,Y,Y,Y,Y,Y
81,6,2002,Intermediate,35,5,5.271202,-3.844639,glimmers.curvy.flinch,23/08/2022,3080,3090,3085,Y,Y,Y,Y,Y
83,1,1997,Intermediate,41,18,5.271732,-3.835053,rationing.overdrive.crawling,24/08/2022,1930,1945,1937.5,Y,Y,Y,Y,Y
83,2,1997,Intermediate,47,17,5.271631,-3.834654,delays.improve.messing,24/08/2022,1910,1905,1907.5,Y,Y,Y,Y,Y
83,3,1997,Intermediate,49,13,,,number.shine.unfocused,24/08/2022,3240,3240,3240,Y,Y,Y,Y,Y
83,4,1997,Intermediate,56,4,5.270715,-3.834146,with.submits.jetliner,24/08/2022,2445,2430,2437.5,Y,Y,Y,Y,Y
83,5,1997,Intermediate,56,9,5.271096,-3.834122,flow.punctual.fact,24/08/2022,3290,3230,3260,Y,Y,Y,Y,Y
83,6,1997,Intermediate,58,9,5.271166,-3.833966,precautions.debut.buying,24/08/2022,2960,2980,2970,Y,Y,Y,Y,Y
95,1,2005,Intermediate,13,11,5.273264,-3.828338,familiar.paddling.worthwile,19/08/2022,1600,1610,1605,Y,Y,Y,Y,Y
95,2,2005,Intermediate,12,9,5.273034,-3.82848,flanking.jogging.vetted,19/08/2022,1540,1545,1542.5,Y,Y,Y,Y,Y
95,3,2005,Intermediate,8,7,5.272892,-3.828744,diagnosing.restrictor.breakage,19/08/2022,885,855,870,Y,Y,Y,Y,Y
95,4,2005,Intermediate,5,5,5.272671,-3.828967,disposables.defamed.branches,19/08/2022,2125,2170,2147.5,Y,Y,Y,Y,Y
95,5,2005,Intermediate,17,17,5.273621,-3.828072,administered.reset.edification,19/08/2022,1910,1930,1920,Y,Y,Y,Y,Y
95,6,2005,Intermediate,27,22,5.274079,-3.827372,syndicate.wishing.throttle,19/08/2022,2115,2095,2105,Y,Y,Y,Y,Y
132,1,1981,Enhanced,15,3,5.281518,-3.840378,line.publisher.pounces,30/08/2022,NA,NA,NA,Y,Y,Y,Y,Y
132,2,1981,Enhanced,21,6,5.281736,-3.840005,dawn.strut.revisits,30/08/2022,NA,NA,NA,Y,Y,Y,Y,Y
132,3,1981,Enhanced,23,7,5.28175,-3.839876,venue.metro.stalemate,30/08/2022,NA,NA,NA,Y,Y,Y,Y,Y
132,4,1981,Enhanced,35,24,5.282755,-3.839111,moral.consoled.excellent,30/08/2022,NA,NA,NA,Y,Y,Y,Y,Y
132,5,1981,Enhanced,37,27,5.283054,-3.838978,leaned.rational.situates,30/08/2022,NA,NA,NA,Y,Y,Y,Y,Y
132,6,1981,Enhanced,34,21,5.282516,-3.839185,another.grant.remarried,30/08/2022,NA,NA,NA,Y,Y,Y,Y,Y
F01,1,NA,Forest,NA,NA,5.281092,-3.843131,etchings.tame.twirls,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F01,2,NA,Forest,NA,NA,5.2810458,-3.8430315,pigtails.linked.streak,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F01,3,NA,Forest,NA,NA,5.280169,-3.843031,fires.brave.schooling,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F01,4,NA,Forest,NA,NA,5.280306,-3.842672,press.twists.fingertip,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F01,5,NA,Forest,NA,NA,5.280533,-3.8430905,wished.tourist.hothouse,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F01,6,NA,Forest,NA,NA,5.2807053,-3.8426627,reddish.heartless.dialects,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F02,1,NA,Forest,NA,NA,5.285286,-3.841242,nodded.epidemics.baths,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F02,2,NA,Forest,NA,NA,5.286475,-3.841592,subplot.massive.clinking,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F02,3,NA,Forest,NA,NA,5.286708,-3.841217,overtime.warm.grief,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F02,4,NA,Forest,NA,NA,5.2867587,-3.8410869,robes.finally.ambient,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F02,5,NA,Forest,NA,NA,5.286828,-3.841508,sand.raven.egging,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F02,6,NA,Forest,NA,NA,5.2872468,-3.8412341,towers.bridge.quote,04/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F03,1,NA,Forest,NA,NA,5.273606,-3.83965,press.averts.outnumber,07/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F03,2,NA,Forest,NA,NA,5.274206,-3.83965,comical.fidgeting.pardon,07/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F03,3,NA,Forest,NA,NA,5.2744712,-3.8396818,microchip.given.listen,07/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F03,4,NA,Forest,NA,NA,5.2724083,-3.8376332,reference.cocoons.migrants,07/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
F03,5,NA,Forest,NA,NA,5.2744695,-3.8390997,happy.nanny.swoop,07/09/2023,NA,NA,NA,Y,Y,NA,Y,NA
